latitude,longitude,elevation,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,pres,tsun,coco,exact_time,day_of_week
48.3590848278,10.7517008856,503.3,2025-04-01 12:05:30+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:05:30,Вторник
48.3590969816,10.7515596505,505.6,2025-04-01 12:05:44+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:05:44,Вторник
48.3591166791,10.7514242828,505.66,2025-04-01 12:05:53+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:05:53,Вторник
48.3591386396,10.7512836345,505.81,2025-04-01 12:06:03+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:06:03,Вторник
48.3591444232,10.7511347719,505.78,2025-04-01 12:06:13+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:06:13,Вторник
48.3591180202,10.7509223744,503.67,2025-04-01 12:06:29+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:06:29,Вторник
48.3591238875,10.7506913692,502.72,2025-04-01 12:06:41+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:06:41,Вторник
48.3590772841,10.7505031954,500.75,2025-04-01 12:06:57+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:06:57,Вторник
48.3591124881,10.7502853498,499.93,2025-04-01 12:07:09+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:07:09,Вторник
48.3592068683,10.7501338888,500.59,2025-04-01 12:07:23+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:07:23,Вторник
48.3593098819,10.7500205655,500.82,2025-04-01 12:07:33+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:07:33,Вторник
48.3594191819,10.7498532627,501.99,2025-04-01 12:07:47+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:07:47,Вторник
48.3594920207,10.7497620676,502.57,2025-04-01 12:07:57+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:07:57,Вторник
48.3596222755,10.7496411167,503.41,2025-04-01 12:08:12+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:08:12,Вторник
48.3597676177,10.7495633326,504.03,2025-04-01 12:08:23+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:08:23,Вторник
48.3598379418,10.7494942658,503.81,2025-04-01 12:08:32+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:08:32,Вторник
48.3599114511,10.7493681181,503.66,2025-04-01 12:08:42+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:08:42,Вторник
48.3599231858,10.7492233627,502.28,2025-04-01 12:08:52+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:08:52,Вторник
48.3599015605,10.749080535,500.97,2025-04-01 12:09:01+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:09:01,Вторник
48.3598148916,10.7490706444,500.45,2025-04-01 12:09:11+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:09:11,Вторник
48.3597183321,10.7490517851,499.85,2025-04-01 12:09:19+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:09:19,Вторник
48.3596114628,10.7490197662,498.92,2025-04-01 12:09:28+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:09:28,Вторник
48.3594790287,10.7489646971,497.96,2025-04-01 12:09:39+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:09:39,Вторник
48.3593841456,10.7488669641,497.2,2025-04-01 12:09:47+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:09:47,Вторник
48.3592872508,10.7487718295,496.72,2025-04-01 12:09:56+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:09:56,Вторник
48.3592117298,10.7486721687,496.1,2025-04-01 12:10:05+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:10:05,Вторник
48.3591309283,10.7485958096,495.96,2025-04-01 12:10:14+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:10:14,Вторник
48.3590303455,10.7484749425,495.38,2025-04-01 12:10:25+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:10:25,Вторник
48.3589325286,10.7483876869,495.05,2025-04-01 12:10:33+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:10:33,Вторник
48.3588491287,10.7482876908,494.65,2025-04-01 12:10:41+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:10:41,Вторник
48.3587738592,10.7481875271,494.44,2025-04-01 12:10:49+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:10:49,Вторник
48.3586943988,10.7480389997,494.44,2025-04-01 12:11:00+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:11:00,Вторник
48.3586358931,10.7479053922,494.22,2025-04-01 12:11:09+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:11:09,Вторник
48.3585871942,10.7477760594,494.03,2025-04-01 12:11:17+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:11:17,Вторник
48.3585389983,10.7476357464,493.81,2025-04-01 12:11:26+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:11:26,Вторник
48.3584823366,10.747739682,492.82,2025-04-01 12:11:36+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:11:36,Вторник
48.3584925625,10.7479579467,491.85,2025-04-01 12:11:47+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:11:47,Вторник
48.3583919797,10.748008322,491.28,2025-04-01 12:11:59+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:11:59,Вторник
48.3583045565,10.7480364852,490.97,2025-04-01 12:12:07+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:12:07,Вторник
48.358210763,10.7480543386,490.6,2025-04-01 12:12:16+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:12:16,Вторник
48.3581164666,10.7481035404,490.52,2025-04-01 12:12:25+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:12:25,Вторник
48.3580410294,10.7481793966,490.3,2025-04-01 12:12:33+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:12:33,Вторник
48.3579742257,10.7482875232,490.01,2025-04-01 12:12:42+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:12:42,Вторник
48.3579377644,10.7484292611,490.16,2025-04-01 12:12:51+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:12:51,Вторник
48.3579183184,10.7485798839,490.15,2025-04-01 12:13:00+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:13:00,Вторник
48.3578913286,10.7487115636,489.95,2025-04-01 12:13:08+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:13:08,Вторник
48.357864758,10.7488476858,490.05,2025-04-01 12:13:16+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:13:16,Вторник
48.3578423783,10.7489845622,490.32,2025-04-01 12:13:24+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:13:24,Вторник
48.3578099404,10.7491276413,490.63,2025-04-01 12:13:33+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:13:33,Вторник
48.3577194158,10.7491427287,490.54,2025-04-01 12:13:42+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:13:42,Вторник
48.3576226886,10.7491387893,490.56,2025-04-01 12:13:51+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:13:51,Вторник
48.3576079365,10.7491323352,490.49,2025-04-01 12:14:01+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:14:01,Вторник
48.3577124588,10.7491241209,490.45,2025-04-01 12:14:09+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:14:09,Вторник
48.3578047436,10.7491197623,490.07,2025-04-01 12:14:17+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:14:17,Вторник
48.3578116167,10.7492376957,489.56,2025-04-01 12:14:27+00:00,7.3,2.4,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:14:27,Вторник
48.3577930927,10.7493841276,489.68,2025-04-01 12:14:36+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:14:36,Вторник
48.3578066714,10.749275079,489.47,2025-04-01 12:14:54+00:00,7.3,2.4,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:14:54,Вторник
48.357825866,10.7491256297,489.85,2025-04-01 12:15:03+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:15:03,Вторник
48.3578556217,10.7489845622,489.71,2025-04-01 12:15:11+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:15:11,Вторник
48.3578782529,10.7488342747,489.92,2025-04-01 12:15:20+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:15:20,Вторник
48.3579006325,10.7486951351,490.06,2025-04-01 12:15:29+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:15:29,Вторник
48.3579262812,10.7485637907,489.96,2025-04-01 12:15:37+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:15:37,Вторник
48.3579498343,10.7484225556,489.8,2025-04-01 12:15:46+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:15:46,Вторник
48.3579041529,10.7483569253,490.19,2025-04-01 12:15:56+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:15:56,Вторник
48.357811952,10.7483552489,490.89,2025-04-01 12:16:04+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:16:04,Вторник
48.3577225171,10.7483332884,491.16,2025-04-01 12:16:12+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:16:12,Вторник
48.357627131,10.7483242359,491.0,2025-04-01 12:16:22+00:00,7.2,2.3,71.0,0.4,0.0,80.0,22.3,1023.1,3.0,8.0,12:16:22,Вторник
30.09806249,-94.12857621,-17.298187,2025-04-01 19:43:07+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:07,Вторник
30.09808024,-94.12858091,-17.48059,2025-04-01 19:43:09+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:09,Вторник
30.09808988,-94.12858529,-17.632233,2025-04-01 19:43:10+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:10,Вторник
30.09809905,-94.12858966,-17.547821,2025-04-01 19:43:11+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:11,Вторник
30.09810879,-94.12859378,-17.582245,2025-04-01 19:43:12+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:12,Вторник
30.09811861,-94.12859775,-17.680145,2025-04-01 19:43:13+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:13,Вторник
30.09812863,-94.12860126,-17.803375,2025-04-01 19:43:14+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:14,Вторник
30.09813821,-94.12860406,-17.782715,2025-04-01 19:43:15+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:15,Вторник
30.09814734,-94.12860697,-17.827576,2025-04-01 19:43:16+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:16,Вторник
30.0981564,-94.12861025,-17.813751,2025-04-01 19:43:17+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:17,Вторник
30.09816573,-94.12861325,-17.663605,2025-04-01 19:43:18+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:18,Вторник
30.09817602,-94.12861707,-17.707703,2025-04-01 19:43:19+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:19,Вторник
30.09818582,-94.12862047,-17.815521,2025-04-01 19:43:20+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:20,Вторник
30.09819574,-94.12862391,-17.876343,2025-04-01 19:43:21+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:21,Вторник
30.09820584,-94.12862804,-18.069733,2025-04-01 19:43:22+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:22,Вторник
30.0982157,-94.12863239,-17.999695,2025-04-01 19:43:23+00:00,26.3,22.0,77.0,0.4,,167.0,23.8,1009.4,,8.0,19:43:23,Вторник
