latitude,longitude,elevation,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,exact_time,day_of_week,time_seconds,distance,predicted_time
44.401839,-72.996659,93.0,2023-04-28 17:08:19+00:00,19.0,1.9,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:19,4,0.0,0.0,0.00015144046
44.401814,-72.996661,93.0,2023-04-28 17:08:20+00:00,19.0,1.9,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:20,4,1.0,2.7825673700325386,0.004517163
44.401778,-72.99666,93.0,2023-04-28 17:08:21+00:00,19.0,1.9,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:21,4,2.0,4.001116337363848,0.004517163
44.401753,-72.996648,93.0,2023-04-28 17:08:22+00:00,19.0,1.9,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:22,4,3.0,2.937881504682189,0.004517163
44.401733,-72.996638,93.0,2023-04-28 17:08:23+00:00,19.0,1.9,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:23,4,4.0,2.36086618461579,0.004517163
44.401709,-72.996628,93.0,2023-04-28 17:08:24+00:00,19.0,1.9,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:24,4,5.0,2.7833217885975086,0.004517163
44.401675,-72.996629,93.0,2023-04-28 17:08:25+00:00,19.0,1.9,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:25,4,6.0,3.7789227363776456,0.004517163
44.401648,-72.996631,93.2,2023-04-28 17:08:26+00:00,19.0,1.9,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:26,4,7.0,3.0044698233319025,0.004517163
44.401622,-72.996644,93.6,2023-04-28 17:08:27+00:00,19.0,1.9,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:27,4,8.0,3.069126628792772,0.004517163
44.401594,-72.996662,94.0,2023-04-28 17:08:28+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:28,4,9.0,3.4258944421641147,0.004517163
44.401571,-72.996676,94.4,2023-04-28 17:08:29+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:29,4,10.0,2.7885086136914863,0.004517163
44.401543,-72.996695,94.6,2023-04-28 17:08:30+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:30,4,11.0,3.45999520926196,0.004517163
44.401521,-72.996704,95.0,2023-04-28 17:08:31+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:31,4,12.0,2.5476105055173917,0.004517163
44.401489,-72.996719,95.2,2023-04-28 17:08:32+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:32,4,13.0,3.7512561430716795,0.004517163
44.401467,-72.996728,95.6,2023-04-28 17:08:33+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:33,4,14.0,2.547610669588441,0.004517163
44.401438,-72.996739,96.0,2023-04-28 17:08:34+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:34,4,15.0,3.3395044539848917,0.004517163
44.40141,-72.996754,96.0,2023-04-28 17:08:35+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:35,4,16.0,3.332939363434825,0.004517163
44.401387,-72.996771,96.2,2023-04-28 17:08:36+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:36,4,17.0,2.8924022479040516,0.004517163
44.401363,-72.996782,96.4,2023-04-28 17:08:37+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:37,4,18.0,2.8071620120061587,0.004517163
44.401344,-72.9968,96.6,2023-04-28 17:08:38+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:38,4,19.0,2.552195981718711,0.004517163
44.40132,-72.996824,96.8,2023-04-28 17:08:39+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:39,4,20.0,3.281420267371753,0.004517163
44.401298,-72.996843,96.8,2023-04-28 17:08:40+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:40,4,21.0,2.875288462196907,0.004517163
44.401273,-72.996853,96.8,2023-04-28 17:08:41+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:41,4,22.0,2.889969624482774,0.004517163
44.401251,-72.996867,96.8,2023-04-28 17:08:42+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:42,4,23.0,2.6870332888421125,0.004517163
44.401222,-72.996875,97.0,2023-04-28 17:08:43+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:43,4,24.0,3.2848980920048585,0.004517163
44.401204,-72.996889,97.0,2023-04-28 17:08:44+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:44,4,25.0,2.290092223881712,0.004517163
44.401177,-72.996904,97.2,2023-04-28 17:08:45+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:45,4,26.0,3.229454046475929,0.004517163
44.40115,-72.996924,97.2,2023-04-28 17:08:46+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:46,4,27.0,3.397054724842291,0.004517163
44.401131,-72.996942,97.2,2023-04-28 17:08:47+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:47,4,28.0,2.5521988368444988,0.004517163
44.401106,-72.996959,97.2,2023-04-28 17:08:48+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:48,4,29.0,3.0905313556147735,0.004517163
44.40108,-72.996982,97.2,2023-04-28 17:08:49+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:49,4,30.0,3.42114563598795,0.004517163
44.401057,-72.996995,97.4,2023-04-28 17:08:50+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:50,4,31.0,2.757616662702162,0.004517163
44.401033,-72.997009,97.4,2023-04-28 17:08:51+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:51,4,32.0,2.8906992868049026,0.004517163
44.401009,-72.997015,97.4,2023-04-28 17:08:52+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:52,4,33.0,2.70937761378738,0.004517163
44.400979,-72.997026,97.4,2023-04-28 17:08:53+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:53,4,34.0,3.446855507814736,0.004517163
44.400953,-72.997038,97.6,2023-04-28 17:08:54+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:54,4,35.0,3.0431729605930067,0.004517163
44.400927,-72.997048,97.6,2023-04-28 17:08:55+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:55,4,36.0,2.9969421331868498,0.004517163
44.400899,-72.997065,97.6,2023-04-28 17:08:56+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:56,4,37.0,3.393328149379472,0.004517163
44.400875,-72.997079,97.8,2023-04-28 17:08:57+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:57,4,38.0,2.890700374824439,0.004517163
44.40085,-72.9971,97.8,2023-04-28 17:08:58+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:58,4,39.0,3.242845975038415,0.004517163
44.400823,-72.997122,97.8,2023-04-28 17:08:59+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:08:59,4,40.0,3.4746373816722143,0.004517163
44.400798,-72.997143,97.8,2023-04-28 17:09:00+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:00,4,41.0,3.242846717652172,0.004517163
44.400777,-72.997174,97.8,2023-04-28 17:09:01+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:01,4,42.0,3.3976778545798463,0.004517163
44.400756,-72.997204,97.8,2023-04-28 17:09:02+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:02,4,43.0,3.3402227954341543,0.004517163
44.400733,-72.99724,97.8,2023-04-28 17:09:03+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:03,4,44.0,3.8414666998788953,0.004517163
44.400713,-72.997273,97.6,2023-04-28 17:09:04+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:04,4,45.0,3.442428630132052,0.004517163
44.400692,-72.997306,97.6,2023-04-28 17:09:05+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:09:05,4,46.0,3.5151919029718233,0.004517163
